Price,Close,High,Low,Open,Volume
Ticker,DKILY,DKILY,DKILY,DKILY,DKILY
Date,,,,,
2019-01-02,10.460087776184082,10.479731583814635,10.194902929849732,10.224367704627259,114400
2019-01-03,10.420801162719727,10.499374520396405,10.322584933958032,10.499374520396405,103300
2019-01-04,10.51901912689209,10.548483904091121,10.253833322095671,10.420801954004148,77600
2019-01-07,10.843133926391602,11.000280645566093,10.62705671919251,10.705630078779755,98900
2019-01-08,10.754738807678223,10.83331216832475,10.666343542783792,10.823491200745192,141000
2019-01-09,11.108319282531738,11.12796215332523,11.019924022290294,11.029744989352892,50300
2019-01-10,11.07885456085205,11.108320274676473,10.911885929187173,10.911885929187173,46700
2019-01-11,10.941350936889648,11.0002804873986,10.82349089920343,10.82349089920343,110800
2019-01-14,10.970816612243652,10.980638517023754,10.862778469667719,10.892243247339628,262900
2019-01-15,11.137784957885742,11.177071639318545,11.029745881444258,11.12796305336045,188700
2019-01-16,11.275286674499512,11.324395255230815,11.18689235318509,11.29493048145934,74300
2019-01-17,11.24582290649414,11.285109587259118,11.098498087792558,11.177071449322515,101100
2019-01-18,11.049389839172363,11.078854616476342,10.941351697945517,10.941351697945517,107100
2019-01-22,10.401158332824707,10.568126952715945,10.361871653830788,10.568126952715945,100300
2019-01-23,10.51901912689209,10.656522981601535,10.440445763249087,10.656522981601535,124500
2019-01-24,10.53866195678711,10.587770543032192,10.499375275124718,10.577949575117875,107300
2019-01-25,10.695809364318848,10.744917012721164,10.666343651275435,10.744917012721164,76200
2019-01-28,10.391336441040039,10.440445024006847,10.342227858073231,10.420801216152798,158900
2019-01-29,10.450267791748047,10.528841156322452,10.430623982270252,10.450267791748047,85800
2019-01-30,10.440444946289062,10.48955352889031,10.283298231299714,10.283298231299714,80800
2019-01-31,10.607413291931152,10.607413291931152,10.489553258724708,10.489553258724708,131900
2019-02-01,10.401158332824707,10.46990978689699,10.371693557746344,10.460087882981432,124700
2019-02-04,10.420801162719727,10.450266874349712,10.322584933958032,10.410980195511373,50600
2019-02-05,10.509197235107422,10.558305821611384,10.479732457872398,10.558305821611384,145300
2019-02-06,10.558305740356445,10.627057198931864,10.509197154230415,10.627057198931864,136900
2019-02-07,10.342228889465332,10.401159382236083,10.273477428456461,10.401159382236083,71500
2019-02-08,10.175259590148926,10.302941535614323,10.06722145321744,10.302941535614323,62200
2019-02-11,10.155616760253906,10.224368217070044,10.145794855946358,10.145794855946358,60700
2019-02-12,10.469910621643066,10.538662081196772,10.420802034818255,10.420802034818255,190400
2019-02-13,10.332406997680664,11.059211035768016,10.214546022673987,10.66634330463851,87500
2019-02-14,10.676165580749512,10.715452261564836,10.6172360278607,10.627056995563265,108800
2019-02-15,10.774382591247559,10.784203558804396,10.666343518107272,10.666343518107272,103800
2019-02-19,10.7056303024292,10.72527411107055,10.607414069227488,10.685987430456198,92400
2019-02-20,10.882421493530273,10.902065303362992,10.833312905616882,10.8529567154496,254000
2019-02-21,10.744916915893555,10.784203596262389,10.705630235524723,10.744916915893555,51200
2019-02-22,10.695809364318848,10.764560821416772,10.676165555623239,10.685987459971043,80500
2019-02-25,10.754738807678223,10.852955976820555,10.72527403160286,10.852955976820555,114600
2019-02-26,10.794025421142578,10.82349113370377,10.705630156795674,10.705630156795674,85500
2019-02-27,10.68598747253418,10.70563034458453,10.607414110996075,10.70563034458453,105600
2019-02-28,10.617236137390137,10.685987595359121,10.597592328445648,10.627057105194018,85200
2019-03-01,10.862778663635254,10.902065346788776,10.803848170570767,10.862778663635254,74800
2019-03-04,11.029746055603027,11.098498451697303,10.91188600944362,10.91188600944362,92400
2019-03-05,10.980637550354004,10.990458517601132,10.931528967445116,10.990458517601132,51100
2019-03-06,10.93152904510498,10.970815724377529,10.862777590545102,10.970815724377529,86800
2019-03-07,10.941350936889648,11.019924295347128,10.911885224966856,11.019924295347128,57500
2019-03-08,10.93152904510498,10.93152904510498,10.77438232801479,10.77438232801479,29900
2019-03-11,11.098498344421387,11.098498344421387,10.764561081863311,10.764561081863311,72500
2019-03-12,10.970816612243652,11.039568072367574,10.941351834571742,11.039568072367574,66200
2019-03-13,10.862778663635254,10.911886315075847,10.695810026065688,10.695810026065688,308700
2019-03-14,10.794025421142578,10.852955909596627,10.754738741062658,10.852955909596627,324600
2019-03-15,10.833312034606934,10.852955842860268,10.764560579056921,10.852955842860268,69500
2019-03-18,10.921707153320312,11.226179620523919,10.744916628062198,11.226179620523919,110400
2019-03-19,11.127962112426758,11.226179276038119,11.088675434315872,11.226179276038119,57700
2019-03-20,11.029746055603027,11.127963229070058,10.980638405537896,11.000281278230272,35200
2019-03-21,11.147605895996094,11.167248766675417,11.029744925246991,11.05921063626841,43800
2019-03-22,11.000280380249023,11.206535678357932,10.990458476370431,11.206535678357932,88200
2019-03-25,10.93152904510498,10.93152904510498,10.852955686559886,10.882420461847216,83600
2019-03-26,11.265466690063477,11.33421814708163,11.226180009386196,11.29493146640435,119300
2019-03-27,11.226180076599121,11.658333566636584,10.970816182333714,11.658333566636584,70900
2019-03-28,11.186893463134766,11.186893463134766,11.108320100836037,11.15742774977147,81500
2019-03-29,11.481542587280273,11.520829266663547,11.432434940552422,11.442255907897,62300
2019-04-01,11.393148422241211,11.442256069663328,11.353861742302518,11.363682709785941,46500
2019-04-02,11.432435035705566,11.520829362552405,11.412791227516273,11.520829362552405,57900
2019-04-03,11.353861808776855,11.442256136655196,11.334218000358332,11.442256136655196,64100
2019-04-04,11.422614097595215,11.471722685553123,11.38332741456257,11.442256970777335,69100
2019-04-05,11.481542587280273,11.491364491293172,11.422613036539524,11.422613036539524,53100
2019-04-08,11.569938659667969,11.569938659667969,11.49136529540324,11.511009104803614,63900
